S/N,Video URL,Video ID,image_name,Type of Food,Country ,Time Stamp (Minutes),Video Unique Count,Length of the Video
1,https://www.youtube.com/watch?v=04Joy3-mCfY,04Joy3-mCfY,eru-cm-001.jpg,Eru,Cameroon,0:01,1,10:35
2,https://www.youtube.com/watch?v=04Joy3-mCfY,04Joy3-mCfY,eru-cm-002.jpg,Eru,Cameroon,0:03,1,10:35
3,https://www.youtube.com/watch?v=04Joy3-mCfY,04Joy3-mCfY,eru-cm-003.jpg,Eru,Cameroon,0:05,1,10:35
4,https://www.youtube.com/watch?v=04Joy3-mCfY,04Joy3-mCfY,eru-cm-004.jpg,Eru,Cameroon,0:30,1,10:35
5,https://www.youtube.com/watch?v=04Joy3-mCfY,04Joy3-mCfY,eru-cm-005.jpg,Eru,Cameroon,0:31,1,10:35
6,https://www.youtube.com/watch?v=04Joy3-mCfY,04Joy3-mCfY,eru-cm-006.jpg,Eru,Cameroon,0:36,1,10:35
7,https://www.youtube.com/watch?v=04Joy3-mCfY,04Joy3-mCfY,eru-cm-007.jpg,Eru,Cameroon,0:39,1,10:35
8,https://www.youtube.com/watch?v=04Joy3-mCfY,04Joy3-mCfY,eru-cm-008.jpg,Eru,Cameroon,0:39,1,10:35
9,https://www.youtube.com/watch?v=04Joy3-mCfY,04Joy3-mCfY,eru-cm-009.jpg,Eru,Cameroon,0:42,1,10:35
10,https://www.youtube.com/watch?v=04Joy3-mCfY,04Joy3-mCfY,eru-cm-010.jpg,Eru,Cameroon,0:50,1,10:35
11,https://www.youtube.com/watch?v=04Joy3-mCfY,04Joy3-mCfY,eru-cm-011.jpg,Eru,Cameroon,0:51,1,10:35
12,https://www.youtube.com/watch?v=04Joy3-mCfY,04Joy3-mCfY,eru-cm-012.jpg,Eru,Cameroon,0:54,1,10:35
13,https://www.youtube.com/watch?v=04Joy3-mCfY,04Joy3-mCfY,eru-cm-013.jpg,Eru,Cameroon,0:59,1,10:35
14,https://www.youtube.com/watch?v=04Joy3-mCfY,04Joy3-mCfY,eru-cm-014.jpg,Eru,Cameroon,1:00,1,10:35
15,https://www.youtube.com/watch?v=04Joy3-mCfY,04Joy3-mCfY,eru-cm-015.jpg,Eru,Cameroon,1:02,1,10:35
16,https://www.youtube.com/watch?v=04Joy3-mCfY,04Joy3-mCfY,eru-cm-016.jpg,Eru,Cameroon,9:26,1,10:35
17,https://www.youtube.com/watch?v=04Joy3-mCfY,04Joy3-mCfY,eru-cm-017.jpg,Eru,Cameroon,9:27,1,10:35
18,https://www.youtube.com/watch?v=04Joy3-mCfY,04Joy3-mCfY,eru-cm-018.jpg,Eru,Cameroon,9:29,1,10:35
