S/N,Video URL,Video ID,image_name,Type of Food,Country ,Time Stamp (Minutes),Video Unique Count,Length of the Video
1,https://www.youtube.com/watch?v=_0OUKJ8ckyk,_0OUKJ8ckyk,jollof_ghana-001.jpg,Jollof Rice,Ghana,8:08,1,8:47
2,https://www.youtube.com/watch?v=_0OUKJ8ckyk,_0OUKJ8ckyk,jollof_ghana-002.jpg,Jollof Rice,Ghana,8:21,1,8:47
3,https://www.youtube.com/watch?v=_0OUKJ8ckyk,_0OUKJ8ckyk,jollof_ghana-003.jpg,Jollof Rice,Ghana,8:24,1,8:47
4,https://www.youtube.com/watch?v=_0OUKJ8ckyk,_0OUKJ8ckyk,jollof_ghana-004.jpg,Jollof Rice,Ghana,8:29,1,8:47
5,https://www.youtube.com/watch?v=_0OUKJ8ckyk,_0OUKJ8ckyk,jollof_ghana-005.jpg,Jollof Rice,Ghana,8:39,1,8:47
6,https://www.youtube.com/watch?v=BUqm9g1WNlI,BUqm9g1WNlI,jollof_ghana-006.jpg,Jollof Rice,Ghana,0:01,2,9:17
7,https://www.youtube.com/watch?v=BUqm9g1WNlI,BUqm9g1WNlI,jollof_ghana-007.jpg,Jollof Rice,Ghana,0:02,2,9:17
8,https://www.youtube.com/watch?v=BUqm9g1WNlI,BUqm9g1WNlI,jollof_ghana-008.jpg,Jollof Rice,Ghana,0:02,2,9:17
9,https://www.youtube.com/watch?v=BUqm9g1WNlI,BUqm9g1WNlI,jollof_ghana-009.jpg,Jollof Rice,Ghana,0:33,2,9:17
10,https://www.youtube.com/watch?v=BUqm9g1WNlI,BUqm9g1WNlI,jollof_ghana-010.jpg,Jollof Rice,Ghana,6:42,2,9:17
11,https://www.youtube.com/watch?v=BUqm9g1WNlI,BUqm9g1WNlI,jollof_ghana-011.jpg,Jollof Rice,Ghana,6:47,2,9:17
12,https://www.youtube.com/watch?v=BUqm9g1WNlI,BUqm9g1WNlI,jollof_ghana-012.jpg,Jollof Rice,Ghana,7:31,2,9:17
13,https://www.youtube.com/watch?v=BUqm9g1WNlI,BUqm9g1WNlI,jollof_ghana-013.jpg,Jollof Rice,Ghana,7:47,2,9:17
14,https://www.youtube.com/watch?v=BUqm9g1WNlI,BUqm9g1WNlI,jollof_ghana-014.jpg,Jollof Rice,Ghana,7:48,2,9:17
15,https://www.youtube.com/watch?v=BUqm9g1WNlI,BUqm9g1WNlI,jollof_ghana-015.jpg,Jollof Rice,Ghana,7:49,2,9:17
16,https://www.youtube.com/watch?v=BUqm9g1WNlI,BUqm9g1WNlI,jollof_ghana-016.jpg,Jollof Rice,Ghana,7:58,2,9:17
17,https://www.youtube.com/watch?v=BUqm9g1WNlI,BUqm9g1WNlI,jollof_ghana-017.jpg,Jollof Rice,Ghana,7:59,2,9:17
18,https://www.youtube.com/watch?v=BUqm9g1WNlI,BUqm9g1WNlI,jollof_ghana-018.jpg,Jollof Rice,Ghana,8:06,2,9:17
19,https://www.youtube.com/watch?v=BUqm9g1WNlI,BUqm9g1WNlI,jollof_ghana-019.jpg,Jollof Rice,Ghana,8:08,2,9:17
20,https://www.youtube.com/watch?v=BUqm9g1WNlI,BUqm9g1WNlI,jollof_ghana-020.jpg,Jollof Rice,Ghana,8:19,2,9:17
21,https://www.youtube.com/watch?v=BUqm9g1WNlI,BUqm9g1WNlI,jollof_ghana-021.jpg,Jollof Rice,Ghana,8:22,2,9:17
22,https://www.youtube.com/watch?v=BUqm9g1WNlI,BUqm9g1WNlI,jollof_ghana-022.jpg,Jollof Rice,Ghana,8:22,2,9:17
23,https://www.youtube.com/watch?v=BUqm9g1WNlI,BUqm9g1WNlI,jollof_ghana-023.jpg,Jollof Rice,Ghana,8:28,2,9:17
24,https://www.youtube.com/watch?v=BUqm9g1WNlI,BUqm9g1WNlI,jollof_ghana-024.jpg,Jollof Rice,Ghana,8:30,2,9:17
25,https://www.youtube.com/watch?v=BUqm9g1WNlI,BUqm9g1WNlI,jollof_ghana-025.jpg,Jollof Rice,Ghana,8:33,2,9:17
26,https://www.youtube.com/watch?v=BUqm9g1WNlI,BUqm9g1WNlI,jollof_ghana-026.jpg,Jollof Rice,Ghana,8:36,2,9:17
27,https://www.youtube.com/watch?v=BUqm9g1WNlI,BUqm9g1WNlI,jollof_ghana-027.jpg,Jollof Rice,Ghana,8:39,2,9:17
28,https://www.youtube.com/watch?v=Vv8jiVS_DX0,Vv8jiVS_DX0,jollof_ghana-028.jpg,Jollof Rice,Ghana,0:01,3,9:19
29,https://www.youtube.com/watch?v=Vv8jiVS_DX0,Vv8jiVS_DX0,jollof_ghana-029.jpg,Jollof Rice,Ghana,0:05,3,9:19
