S/N,Video URL,Video ID,image_name,Type of Food,Country ,Time Stamp (Minutes),Video Unique Count,Length of the Video
1,https://www.youtube.com/watch?v=z4tNAyRdo70,z4tNAyRdo70,jollof_rice-001.jpg,Jollof Rice,Nigeria,0:09,1,20:07
2,https://www.youtube.com/watch?v=z4tNAyRdo70,z4tNAyRdo70,jollof_rice-002.jpg,Jollof Rice,Nigeria,0:16,1,20:07
3,https://www.youtube.com/watch?v=z4tNAyRdo70,z4tNAyRdo70,jollof_rice-003.jpg,Jollof Rice,Nigeria,0:16,1,20:07
4,https://www.youtube.com/watch?v=z4tNAyRdo70,z4tNAyRdo70,jollof_rice-004.jpg,Jollof Rice,Nigeria,0:18,1,20:07
5,https://www.youtube.com/watch?v=z4tNAyRdo70,z4tNAyRdo70,jollof_rice-005.jpg,Jollof Rice,Nigeria,0:23,1,20:07
6,https://www.youtube.com/watch?v=z4tNAyRdo70,z4tNAyRdo70,jollof_rice-006.jpg,Jollof Rice,Nigeria,11:37,1,20:07
7,https://www.youtube.com/watch?v=z4tNAyRdo70,z4tNAyRdo70,jollof_rice-007.jpg,Jollof Rice,Nigeria,12:27,1,20:07
8,https://www.youtube.com/watch?v=z4tNAyRdo70,z4tNAyRdo70,jollof_rice-008.jpg,Jollof Rice,Nigeria,12:32,1,20:07
9,https://www.youtube.com/watch?v=z4tNAyRdo70,z4tNAyRdo70,jollof_rice-009.jpg,Jollof Rice,Nigeria,13:35,1,20:07
10,https://www.youtube.com/watch?v=z4tNAyRdo70,z4tNAyRdo70,jollof_rice-010.jpg,Jollof Rice,Nigeria,13:36,1,20:07
11,https://www.youtube.com/watch?v=z4tNAyRdo70,z4tNAyRdo70,jollof_rice-011.jpg,Jollof Rice,Nigeria,13:43,1,20:07
12,https://www.youtube.com/watch?v=z4tNAyRdo70,z4tNAyRdo70,jollof_rice-012.jpg,Jollof Rice,Nigeria,13:52,1,20:07
13,https://www.youtube.com/watch?v=z4tNAyRdo70,z4tNAyRdo70,jollof_rice-013.jpg,Jollof Rice,Nigeria,13:53,1,20:07
14,https://www.youtube.com/watch?v=EfZEArZcfAY,EfZEArZcfAY,jollof_rice-014.jpg,Jollof Rice,Nigeria,0:02,2,4:11
15,https://www.youtube.com/watch?v=EfZEArZcfAY,EfZEArZcfAY,jollof_rice-015.jpg,Jollof Rice,Nigeria,0:04,2,4:11
16,https://www.youtube.com/watch?v=EfZEArZcfAY,EfZEArZcfAY,jollof_rice-016.jpg,Jollof Rice,Nigeria,0:09,2,4:11
17,https://www.youtube.com/watch?v=EfZEArZcfAY,EfZEArZcfAY,jollof_rice-017.jpg,Jollof Rice,Nigeria,3:24,2,4:11
18,https://www.youtube.com/watch?v=EfZEArZcfAY,EfZEArZcfAY,jollof_rice-018.jpg,Jollof Rice,Nigeria,3:44,2,4:11
19,https://www.youtube.com/watch?v=EfZEArZcfAY,EfZEArZcfAY,jollof_rice-019.jpg,Jollof Rice,Nigeria,3:48,2,4:11
20,https://www.youtube.com/watch?v=EfZEArZcfAY,EfZEArZcfAY,jollof_rice-020.jpg,Jollof Rice,Nigeria,3:53,2,4:11
21,https://www.youtube.com/watch?v=EfZEArZcfAY,EfZEArZcfAY,jollof_rice-021.jpg,Jollof Rice,Nigeria,3:56,2,4:11
22,https://www.youtube.com/watch?v=EfZEArZcfAY,EfZEArZcfAY,jollof_rice-022.jpg,Jollof Rice,Nigeria,3:58,2,4:11
23,https://www.youtube.com/watch?v=EfZEArZcfAY,EfZEArZcfAY,jollof_rice-023.jpg,Jollof Rice,Nigeria,4:04,2,4:11
24,https://www.youtube.com/watch?v=EfZEArZcfAY,EfZEArZcfAY,jollof_rice-024.jpg,Jollof Rice,Nigeria,4:08,2,4:11
25,https://www.youtube.com/watch?v=TyLygfyfwuc,TyLygfyfwuc,jollof_rice-025.jpg,Jollof Rice,Nigeria,0:01,3,23:50
26,https://www.youtube.com/watch?v=TyLygfyfwuc,TyLygfyfwuc,jollof_rice-026.jpg,Jollof Rice,Nigeria,0:03,3,23:50
27,https://www.youtube.com/watch?v=TyLygfyfwuc,TyLygfyfwuc,jollof_rice-027.jpg,Jollof Rice,Nigeria,0:08,3,23:50
28,https://www.youtube.com/watch?v=TyLygfyfwuc,TyLygfyfwuc,jollof_rice-028.jpg,Jollof Rice,Nigeria,0:10,3,23:50
29,https://www.youtube.com/watch?v=TyLygfyfwuc,TyLygfyfwuc,jollof_rice-029.jpg,Jollof Rice,Nigeria,0:11,3,23:50
30,https://www.youtube.com/watch?v=TyLygfyfwuc,TyLygfyfwuc,jollof_rice-030.jpg,Jollof Rice,Nigeria,0:14,3,23:50
31,https://www.youtube.com/watch?v=TyLygfyfwuc,TyLygfyfwuc,jollof_rice-031.jpg,Jollof Rice,Nigeria,0:16,3,23:50
32,https://www.youtube.com/watch?v=TyLygfyfwuc,TyLygfyfwuc,jollof_rice-032.jpg,Jollof Rice,Nigeria,0:17,3,23:50
33,https://www.youtube.com/watch?v=TyLygfyfwuc,TyLygfyfwuc,jollof_rice-033.jpg,Jollof Rice,Nigeria,0:26,3,23:50
34,https://www.youtube.com/watch?v=TyLygfyfwuc,TyLygfyfwuc,jollof_rice-034.jpg,Jollof Rice,Nigeria,0:29,3,23:50
35,https://www.youtube.com/watch?v=TyLygfyfwuc,TyLygfyfwuc,jollof_rice-035.jpg,Jollof Rice,Nigeria,0:31,3,23:50
36,https://www.youtube.com/watch?v=TyLygfyfwuc,TyLygfyfwuc,jollof_rice-036.jpg,Jollof Rice,Nigeria,0:32,3,23:50
37,https://www.youtube.com/watch?v=TyLygfyfwuc,TyLygfyfwuc,jollof_rice-037.jpg,Jollof Rice,Nigeria,21:28,3,23:50
38,https://www.youtube.com/watch?v=TyLygfyfwuc,TyLygfyfwuc,jollof_rice-038.jpg,Jollof Rice,Nigeria,21:40,3,23:50
39,https://www.youtube.com/watch?v=TyLygfyfwuc,TyLygfyfwuc,jollof_rice-039.jpg,Jollof Rice,Nigeria,21:44,3,23:50
