S/N,Video URL,Video ID,image_name,Type of Food,Country ,Time Stamp (Minutes),Video Unique Count,Length of the Video
1,https://www.youtube.com/watch?v=7lOH8iJlVQE,7lOH8iJlVQE,moi-moi-001.jpg,moi-moi,Nigeria,0:02,1,7:17
2,https://www.youtube.com/watch?v=7lOH8iJlVQE,7lOH8iJlVQE,moi-moi-002.jpg,moi-moi,Nigeria,0:02,1,7:17
3,https://www.youtube.com/watch?v=7lOH8iJlVQE,7lOH8iJlVQE,moi-moi-003.jpg,moi-moi,Nigeria,6:33,1,7:17
4,https://www.youtube.com/watch?v=7lOH8iJlVQE,7lOH8iJlVQE,moi-moi-004.jpg,moi-moi,Nigeria,6:38,1,7:17
5,https://www.youtube.com/watch?v=7lOH8iJlVQE,7lOH8iJlVQE,moi-moi-005.jpg,moi-moi,Nigeria,6:39,1,7:17
6,https://www.youtube.com/watch?v=7lOH8iJlVQE,7lOH8iJlVQE,moi-moi-006.jpg,moi-moi,Nigeria,6:43,1,7:17
7,https://www.youtube.com/watch?v=7lOH8iJlVQE,7lOH8iJlVQE,moi-moi-007.jpg,moi-moi,Nigeria,6:51,1,7:17
8,https://www.youtube.com/watch?v=7lOH8iJlVQE,7lOH8iJlVQE,moi-moi-008.jpg,moi-moi,Nigeria,6:51,1,7:17
9,https://www.youtube.com/watch?v=7lOH8iJlVQE,7lOH8iJlVQE,moi-moi-009.jpg,moi-moi,Nigeria,6:58,1,7:17
10,https://www.youtube.com/watch?v=7lOH8iJlVQE,7lOH8iJlVQE,moi-moi-010.jpg,moi-moi,Nigeria,7:02,1,7:17
11,https://www.youtube.com/watch?v=7lOH8iJlVQE,7lOH8iJlVQE,moi-moi-011.jpg,moi-moi,Nigeria,7:04,1,7:17
12,https://www.youtube.com/watch?v=7lOH8iJlVQE,7lOH8iJlVQE,moi-moi-012.jpg,moi-moi,Nigeria,7:09,1,7:17
13,https://www.youtube.com/watch?v=7lOH8iJlVQE,7lOH8iJlVQE,moi-moi-013.jpg,moi-moi,Nigeria,6:12,1,7:17
14,https://www.youtube.com/watch?v=7lOH8iJlVQE,7lOH8iJlVQE,moi-moi-014.jpg,moi-moi,Nigeria,0:00,2,7:39
15,https://www.youtube.com/watch?v=7lOH8iJlVQE,7lOH8iJlVQE,moi-moi-015.jpg,moi-moi,Nigeria,0:00,2,7:39
16,https://www.youtube.com/watch?v=7lOH8iJlVQE,7lOH8iJlVQE,moi-moi-016.jpg,moi-moi,Nigeria,0:03,2,7:39
17,https://www.youtube.com/watch?v=7lOH8iJlVQE,7lOH8iJlVQE,moi-moi-017.jpg,moi-moi,Nigeria,0:04,2,7:39
18,https://www.youtube.com/watch?v=7lOH8iJlVQE,7lOH8iJlVQE,moi-moi-018.jpg,moi-moi,Nigeria,0:05,2,7:39
19,https://www.youtube.com/watch?v=7lOH8iJlVQE,7lOH8iJlVQE,moi-moi-019.jpg,moi-moi,Nigeria,0:08,2,7:39
20,https://www.youtube.com/watch?v=7lOH8iJlVQE,7lOH8iJlVQE,moi-moi-020.jpg,moi-moi,Nigeria,0:10,2,7:39
21,https://www.youtube.com/watch?v=7lOH8iJlVQE,7lOH8iJlVQE,moi-moi-021.jpg,moi-moi,Nigeria,7:04,2,7:39
22,https://www.youtube.com/watch?v=7lOH8iJlVQE,7lOH8iJlVQE,moi-moi-022.jpg,moi-moi,Nigeria,7:05,2,7:39
23,https://www.youtube.com/watch?v=7lOH8iJlVQE,7lOH8iJlVQE,moi-moi-023.jpg,moi-moi,Nigeria,7:06,2,7:39
24,https://www.youtube.com/watch?v=7lOH8iJlVQE,7lOH8iJlVQE,moi-moi-024.jpg,moi-moi,Nigeria,7:15,2,7:39
25,https://www.youtube.com/watch?v=7lOH8iJlVQE,7lOH8iJlVQE,moi-moi-025.jpg,moi-moi,Nigeria,7:17,2,7:39
26,https://www.youtube.com/watch?v=7lOH8iJlVQE,7lOH8iJlVQE,moi-moi-026.jpg,moi-moi,Nigeria,7:20,2,7:39
27,https://www.youtube.com/watch?v=7lOH8iJlVQE,7lOH8iJlVQE,moi-moi-027.jpg,moi-moi,Nigeria,7:27,2,7:39
28,https://www.youtube.com/watch?v=7lOH8iJlVQE,7lOH8iJlVQE,moi-moi-028.jpg,moi-moi,Nigeria,0:03,3,10:44
29,https://www.youtube.com/watch?v=7lOH8iJlVQE,7lOH8iJlVQE,moi-moi-029.jpg,moi-moi,Nigeria,0:05,3,10:44
30,https://www.youtube.com/watch?v=7lOH8iJlVQE,7lOH8iJlVQE,moi-moi-030.jpg,moi-moi,Nigeria,0:19,3,10:44
31,https://www.youtube.com/watch?v=7lOH8iJlVQE,7lOH8iJlVQE,moi-moi-031.jpg,moi-moi,Nigeria,9:21,3,10:44
32,https://www.youtube.com/watch?v=7lOH8iJlVQE,7lOH8iJlVQE,moi-moi-032.jpg,moi-moi,Nigeria,9:25,3,10:44
33,https://www.youtube.com/watch?v=7lOH8iJlVQE,7lOH8iJlVQE,moi-moi-033.jpg,moi-moi,Nigeria,9:30,3,10:44
34,https://www.youtube.com/watch?v=7lOH8iJlVQE,7lOH8iJlVQE,moi-moi-034.jpg,moi-moi,Nigeria,9:48,3,10:44
35,https://www.youtube.com/watch?v=7lOH8iJlVQE,7lOH8iJlVQE,moi-moi-035.jpg,moi-moi,Nigeria,9:51,3,10:44
36,https://www.youtube.com/watch?v=7lOH8iJlVQE,7lOH8iJlVQE,moi-moi-036.jpg,moi-moi,Nigeria,9:54,3,10:44
37,https://www.youtube.com/watch?v=7lOH8iJlVQE,7lOH8iJlVQE,moi-moi-037.jpg,moi-moi,Nigeria,9:57,3,10:44
38,https://www.youtube.com/watch?v=7lOH8iJlVQE,7lOH8iJlVQE,moi-moi-038.jpg,moi-moi,Nigeria,9:59,3,10:44
39,https://www.youtube.com/watch?v=7lOH8iJlVQE,7lOH8iJlVQE,moi-moi-039.jpg,moi-moi,Nigeria,10:05,3,10:44
40,https://www.youtube.com/watch?v=7lOH8iJlVQE,7lOH8iJlVQE,moi-moi-040.jpg,moi-moi,Nigeria,10:19,3,10:44
41,https://www.youtube.com/watch?v=LLTt70ZRgD0,LLTt70ZRgD0,moi-moi-041.jpg,moi-moi,Nigeria,33.40,4,39.43
42,https://www.youtube.com/watch?v=LLTt70ZRgD0,LLTt70ZRgD0,moi-moi-042.jpg,moi-moi,Nigeria,33.44,4,39.43
43,https://www.youtube.com/watch?v=LLTt70ZRgD0,LLTt70ZRgD0,moi-moi-043.jpg,moi-moi,Nigeria,38.16,4,39.43
44,https://www.youtube.com/watch?v=LLTt70ZRgD0,LLTt70ZRgD0,moi-moi-044.jpg,moi-moi,Nigeria,38.23,4,39.43
45,https://www.youtube.com/watch?v=LLTt70ZRgD0,LLTt70ZRgD0,moi-moi-045.jpg,moi-moi,Nigeria,38.23,4,39.43
46,https://www.youtube.com/watch?v=LLTt70ZRgD0,LLTt70ZRgD0,moi-moi-046.jpg,moi-moi,Nigeria,38.24,4,39.43
47,https://www.youtube.com/watch?v=LLTt70ZRgD0,LLTt70ZRgD0,moi-moi-047.jpg,moi-moi,Nigeria,38.24,4,39.43
48,https://www.youtube.com/watch?v=LLTt70ZRgD0,LLTt70ZRgD0,moi-moi-048.jpg,moi-moi,Nigeria,39.24,4,39.43
49,https://www.youtube.com/watch?v=LLTt70ZRgD0,LLTt70ZRgD0,moi-moi-049.jpg,moi-moi,Nigeria,39.24,4,39.43
50,https://www.youtube.com/watch?v=Un51HqZW-ig,Un51HqZW-ig,moi-moi-050.jpg,moi-moi,Nigeria,0:11,5,10:40
51,https://www.youtube.com/watch?v=EtrSIUeuz20,EtrSIUeuz20,moi-moi-051.jpg,moi-moi,Nigeria,9:26,5,10:40
52,https://www.youtube.com/watch?v=EtrSIUeuz20,EtrSIUeuz20,moi-moi-052.jpg,moi-moi,Nigeria,9:47,5,10:40
53,https://www.youtube.com/watch?v=EtrSIUeuz20,EtrSIUeuz20,moi-moi-053.jpg,moi-moi,Nigeria,9:47,5,10:40
54,https://www.youtube.com/watch?v=EtrSIUeuz20,EtrSIUeuz20,moi-moi-054.jpg,moi-moi,Nigeria,9:53,5,10:40
55,https://www.youtube.com/watch?v=EtrSIUeuz20,EtrSIUeuz20,moi-moi-055.jpg,moi-moi,Nigeria,10:11,5,10:40
56,https://www.youtube.com/watch?v=BwBhKU2DbII,BwBhKU2DbII,moi-moi-056.jpg,moi-moi,Nigeria,0:08,6,13:34
57,https://www.youtube.com/watch?v=BwBhKU2DbII,BwBhKU2DbII,moi-moi-057.jpg,moi-moi,Nigeria,0:11,6,13:34
58,https://www.youtube.com/watch?v=BwBhKU2DbII,BwBhKU2DbII,moi-moi-058.jpg,moi-moi,Nigeria,0:15,6,13:34
59,https://www.youtube.com/watch?v=BwBhKU2DbII,BwBhKU2DbII,moi-moi-059.jpg,moi-moi,Nigeria,12:32,6,13:34
60,https://www.youtube.com/watch?v=BwBhKU2DbII,BwBhKU2DbII,moi-moi-060.jpg,moi-moi,Nigeria,12:35,6,13:34
61,https://www.youtube.com/watch?v=BwBhKU2DbII,BwBhKU2DbII,moi-moi-061.jpg,moi-moi,Nigeria,12:38,6,13:34
62,https://www.youtube.com/watch?v=BwBhKU2DbII,BwBhKU2DbII,moi-moi-062.jpg,moi-moi,Nigeria,12:42,6,13:34
63,https://www.youtube.com/watch?v=BwBhKU2DbII,BwBhKU2DbII,moi-moi-063.jpg,moi-moi,Nigeria,12:42,6,13:34
64,https://www.youtube.com/watch?v=BwBhKU2DbII,BwBhKU2DbII,moi-moi-064.jpg,moi-moi,Nigeria,12:46,6,13:34
65,https://www.youtube.com/watch?v=BwBhKU2DbII,BwBhKU2DbII,moi-moi-065.jpg,moi-moi,Nigeria,13:00,6,13:34
66,https://www.youtube.com/watch?v=BwBhKU2DbII,BwBhKU2DbII,moi-moi-066.jpg,moi-moi,Nigeria,13:06,6,13:34
67,https://www.youtube.com/watch?v=BwBhKU2DbII,BwBhKU2DbII,moi-moi-067.jpg,moi-moi,Nigeria,13:09,6,13:34
68,https://www.youtube.com/watch?v=vUFoBXIbMjg,vUFoBXIbMjg,moi-moi-068.jpg,moi-moi,Nigeria,3:28,7,4:17
69,https://www.youtube.com/watch?v=vUFoBXIbMjg,vUFoBXIbMjg,moi-moi-069.jpg,moi-moi,Nigeria,3:36,7,4:17
70,https://www.youtube.com/watch?v=vUFoBXIbMjg,vUFoBXIbMjg,moi-moi-070.jpg,moi-moi,Nigeria,3:40,7,4:17
71,https://www.youtube.com/watch?v=vUFoBXIbMjg,vUFoBXIbMjg,moi-moi-071.jpg,moi-moi,Nigeria,3:47,7,4:17
72,https://www.youtube.com/watch?v=vUFoBXIbMjg,vUFoBXIbMjg,moi-moi-072.jpg,moi-moi,Nigeria,3:51,7,4:17
73,https://www.youtube.com/watch?v=vUFoBXIbMjg,vUFoBXIbMjg,moi-moi-073.jpg,moi-moi,Nigeria,3:58,7,4:17
74,https://www.youtube.com/watch?v=vUFoBXIbMjg,vUFoBXIbMjg,moi-moi-074.jpg,moi-moi,Nigeria,4:07,7,4:17
75,https://www.youtube.com/watch?v=vUFoBXIbMjg,vUFoBXIbMjg,moi-moi-075.jpg,moi-moi,Nigeria,4:12,7,4:17
76,https://www.youtube.com/watch?v=RqXkcJ57-84,RqXkcJ57-84,moi-moi-076.jpg,moi-moi,Nigeria,0:11,8,7:44
77,https://www.youtube.com/watch?v=RqXkcJ57-84,RqXkcJ57-84,moi-moi-077.jpg,moi-moi,Nigeria,0:13,8,7:44
78,https://www.youtube.com/watch?v=RqXkcJ57-84,RqXkcJ57-84,moi-moi-078.jpg,moi-moi,Nigeria,0:14,8,7:44
79,https://www.youtube.com/watch?v=RqXkcJ57-84,RqXkcJ57-84,moi-moi-079.jpg,moi-moi,Nigeria,0:16,8,7:44
80,https://www.youtube.com/watch?v=RqXkcJ57-84,RqXkcJ57-84,moi-moi-080.jpg,moi-moi,Nigeria,0:17,8,7:44
81,https://www.youtube.com/watch?v=RqXkcJ57-84,RqXkcJ57-84,moi-moi-081.jpg,moi-moi,Nigeria,0:19,8,7:44
82,https://www.youtube.com/watch?v=RqXkcJ57-84,RqXkcJ57-84,moi-moi-082.jpg,moi-moi,Nigeria,0:21,8,7:44
83,https://www.youtube.com/watch?v=RqXkcJ57-84,RqXkcJ57-84,moi-moi-083.jpg,moi-moi,Nigeria,0:22,8,7:44
84,https://www.youtube.com/watch?v=RqXkcJ57-84,RqXkcJ57-84,moi-moi-084.jpg,moi-moi,Nigeria,0:24,8,7:44
85,https://www.youtube.com/watch?v=RqXkcJ57-84,RqXkcJ57-85,moi-moi-085.jpg,moi-moi,Nigeria,0:26,8,7:44
86,https://www.youtube.com/watch?v=RqXkcJ57-84,RqXkcJ57-85,moi-moi-086.jpg,moi-moi,Nigeria,0:29,8,7:44
87,https://www.youtube.com/watch?v=RqXkcJ57-84,RqXkcJ57-85,moi-moi-087.jpg,moi-moi,Nigeria,0:36,8,7:44
88,https://www.youtube.com/watch?v=RqXkcJ57-84,RqXkcJ57-85,moi-moi-088.jpg,moi-moi,Nigeria,0:38,8,7:44
89,https://www.youtube.com/watch?v=RqXkcJ57-84,RqXkcJ57-85,moi-moi-089.jpg,moi-moi,Nigeria,6:49,8,7:44
90,https://www.youtube.com/watch?v=OZ86f2pVOu4,OZ86f2pVOu4,moi-moi-090.jpg,moi-moi,Nigeria,0:03,9,16:23
91,https://www.youtube.com/watch?v=OZ86f2pVOu4,OZ86f2pVOu4,moi-moi-091.jpg,moi-moi,Nigeria,0:03,9,16:23
92,https://www.youtube.com/watch?v=OZ86f2pVOu4,OZ86f2pVOu4,moi-moi-092.jpg,moi-moi,Nigeria,14:18,9,16:23
93,https://www.youtube.com/watch?v=OZ86f2pVOu4,OZ86f2pVOu4,moi-moi-093.jpg,moi-moi,Nigeria,14:28,9,16:23
94,https://www.youtube.com/watch?v=OZ86f2pVOu4,OZ86f2pVOu4,moi-moi-094.jpg,moi-moi,Nigeria,14:34,9,16:23
