S/N,Video URL,Video ID,image_name,Type of Food,Country ,Time Stamp (Minutes),Video Unique Count,Length of the Video
1,https://www.youtube.com/watch?v=jEitxQwVGi4,jEitxQwVGi4,ndole-cm-001.jpg,Ndole,Cameroon,0:09,1,9:15
2,https://www.youtube.com/watch?v=jEitxQwVGi4,jEitxQwVGi4,ndole-cm-002.jpg,Ndole,Cameroon,0:10,1,9:15
3,https://www.youtube.com/watch?v=jEitxQwVGi4,jEitxQwVGi4,ndole-cm-003.jpg,Ndole,Cameroon,0:11,1,9:15
4,https://www.youtube.com/watch?v=jEitxQwVGi4,jEitxQwVGi4,ndole-cm-004.jpg,Ndole,Cameroon,0:13,1,9:15
5,https://www.youtube.com/watch?v=jEitxQwVGi4,jEitxQwVGi4,ndole-cm-005.jpg,Ndole,Cameroon,0:15,1,9:15
6,https://www.youtube.com/watch?v=jEitxQwVGi4,jEitxQwVGi4,ndole-cm-006.jpg,Ndole,Cameroon,0:16,1,9:15
7,https://www.youtube.com/watch?v=jEitxQwVGi4,jEitxQwVGi4,ndole-cm-007.jpg,Ndole,Cameroon,0:18,1,9:15
8,https://www.youtube.com/watch?v=jEitxQwVGi4,jEitxQwVGi4,ndole-cm-008.jpg,Ndole,Cameroon,0:20,1,9:15
9,https://www.youtube.com/watch?v=jEitxQwVGi4,jEitxQwVGi4,ndole-cm-009.jpg,Ndole,Cameroon,0:21,1,9:15
10,https://www.youtube.com/watch?v=jEitxQwVGi4,jEitxQwVGi4,ndole-cm-010.jpg,Ndole,Cameroon,0:24,1,9:15
11,https://www.youtube.com/watch?v=jEitxQwVGi4,jEitxQwVGi4,ndole-cm-011.jpg,Ndole,Cameroon,0:25,1,9:15
12,https://www.youtube.com/watch?v=jEitxQwVGi4,jEitxQwVGi4,ndole-cm-012.jpg,Ndole,Cameroon,0:26,1,9:15
13,https://www.youtube.com/watch?v=jEitxQwVGi4,jEitxQwVGi4,ndole-cm-013.jpg,Ndole,Cameroon,0:29,1,9:15
14,https://www.youtube.com/watch?v=jEitxQwVGi4,jEitxQwVGi4,ndole-cm-014.jpg,Ndole,Cameroon,4:28,1,9:15
15,https://www.youtube.com/watch?v=jEitxQwVGi4,jEitxQwVGi4,ndole-cm-015.jpg,Ndole,Cameroon,4:50,1,9:15
16,https://www.youtube.com/watch?v=jEitxQwVGi4,jEitxQwVGi4,ndole-cm-016.jpg,Ndole,Cameroon,4:53,1,9:15
17,https://www.youtube.com/watch?v=jEitxQwVGi4,jEitxQwVGi4,ndole-cm-017.jpg,Ndole,Cameroon,5:15,1,9:15
18,https://www.youtube.com/watch?v=jEitxQwVGi4,jEitxQwVGi4,ndole-cm-018.jpg,Ndole,Cameroon,6:04,1,9:15
19,https://www.youtube.com/watch?v=jEitxQwVGi4,jEitxQwVGi4,ndole-cm-019.jpg,Ndole,Cameroon,7:33,1,9:15
20,https://www.youtube.com/watch?v=jEitxQwVGi4,jEitxQwVGi4,ndole-cm-020.jpg,Ndole,Cameroon,8:41,1,9:15
21,https://www.youtube.com/watch?v=cHHTe9TNsP8,cHHTe9TNsP8,ndole-cm-021.jpg,Ndole,Cameroon,4:33,2,5:50
22,https://www.youtube.com/watch?v=cHHTe9TNsP8,cHHTe9TNsP8,ndole-cm-022.jpg,Ndole,Cameroon,5:18,2,5:50
23,https://www.youtube.com/watch?v=1-h26aXv-5U,1-h26aXv-5U,ndole-cm-023.jpg,Ndole,Cameroon,1:07,3,1:16
