S/N,Video URL,Video ID,image_name,Type of Food,Country ,Time Stamp (Minutes),Video Unique Count,Length of the Video
1,https://www.youtube.com/watch?v=6l1IBu1jbPk,6l1IBu1jbPk,palm-nut-soup-001.jpg,Palm-nut Soup,Ghana,0:02,1,8:02
2,https://www.youtube.com/watch?v=6l1IBu1jbPk,6l1IBu1jbPk,palm-nut-soup-002.jpg,Palm-nut Soup,Ghana,0:25,1,8:02
3,https://www.youtube.com/watch?v=6l1IBu1jbPk,6l1IBu1jbPk,palm-nut-soup-003.jpg,Palm-nut Soup,Ghana,0:28,1,8:02
4,https://www.youtube.com/watch?v=6l1IBu1jbPk,6l1IBu1jbPk,palm-nut-soup-004.jpg,Palm-nut Soup,Ghana,0:30,1,8:02
5,https://www.youtube.com/watch?v=6l1IBu1jbPk,6l1IBu1jbPk,palm-nut-soup-005.jpg,Palm-nut Soup,Ghana,4:25,1,8:02
6,https://www.youtube.com/watch?v=6l1IBu1jbPk,6l1IBu1jbPk,palm-nut-soup-006.jpg,Palm-nut Soup,Ghana,4:41,1,8:02
7,https://www.youtube.com/watch?v=6l1IBu1jbPk,6l1IBu1jbPk,palm-nut-soup-007.jpg,Palm-nut Soup,Ghana,4:47,1,8:02
8,https://www.youtube.com/watch?v=6l1IBu1jbPk,6l1IBu1jbPk,palm-nut-soup-008.jpg,Palm-nut Soup,Ghana,5:19,1,8:02
9,https://www.youtube.com/watch?v=6l1IBu1jbPk,6l1IBu1jbPk,palm-nut-soup-009.jpg,Palm-nut Soup,Ghana,5:28,1,8:02
10,https://www.youtube.com/watch?v=6l1IBu1jbPk,6l1IBu1jbPk,palm-nut-soup-010.jpg,Palm-nut Soup,Ghana,5:31,1,8:02
11,https://www.youtube.com/watch?v=6l1IBu1jbPk,6l1IBu1jbPk,palm-nut-soup-011.jpg,Palm-nut Soup,Ghana,5:42,1,8:02
12,https://www.youtube.com/watch?v=6l1IBu1jbPk,6l1IBu1jbPk,palm-nut-soup-012.jpg,Palm-nut Soup,Ghana,5:58,1,8:02
13,https://www.youtube.com/watch?v=6l1IBu1jbPk,6l1IBu1jbPk,palm-nut-soup-013.jpg,Palm-nut Soup,Ghana,6:04,1,8:02
14,https://www.youtube.com/watch?v=6l1IBu1jbPk,6l1IBu1jbPk,palm-nut-soup-014.jpg,Palm-nut Soup,Ghana,6:32,1,8:02
15,https://www.youtube.com/watch?v=6l1IBu1jbPk,6l1IBu1jbPk,palm-nut-soup-015.jpg,Palm-nut Soup,Ghana,6:32,1,8:02
16,https://www.youtube.com/watch?v=6l1IBu1jbPk,6l1IBu1jbPk,palm-nut-soup-016.jpg,Palm-nut Soup,Ghana,7:26,1,8:02
17,https://www.youtube.com/watch?v=6l1IBu1jbPk,6l1IBu1jbPk,palm-nut-soup-017.jpg,Palm-nut Soup,Ghana,7:28,1,8:02
18,https://www.youtube.com/watch?v=6l1IBu1jbPk,6l1IBu1jbPk,palm-nut-soup-018.jpg,Palm-nut Soup,Ghana,7:33,1,8:02
19,https://www.youtube.com/watch?v=6l1IBu1jbPk,6l1IBu1jbPk,palm-nut-soup-019.jpg,Palm-nut Soup,Ghana,7:34,1,8:02
20,https://www.youtube.com/watch?v=6l1IBu1jbPk,6l1IBu1jbPk,palm-nut-soup-020.jpg,Palm-nut Soup,Ghana,7:36,1,8:02
21,https://www.youtube.com/watch?v=6l1IBu1jbPk,6l1IBu1jbPk,palm-nut-soup-021.jpg,Palm-nut Soup,Ghana,7:39,1,8:02
22,https://www.youtube.com/watch?v=6l1IBu1jbPk,6l1IBu1jbPk,palm-nut-soup-022.jpg,Palm-nut Soup,Ghana,7:49,1,8:02
23,https://www.youtube.com/watch?v=hBEizrEAiRs,hBEizrEAiRs,palm-nut-soup-023.jpg,Palm-nut Soup,Ghana,0:01,2,5:01
24,https://www.youtube.com/watch?v=hBEizrEAiRs,hBEizrEAiRs,palm-nut-soup-024.jpg,Palm-nut Soup,Ghana,0:18,2,5:01
25,https://www.youtube.com/watch?v=hBEizrEAiRs,hBEizrEAiRs,palm-nut-soup-025.jpg,Palm-nut Soup,Ghana,0:20,2,5:01
26,https://www.youtube.com/watch?v=hBEizrEAiRs,hBEizrEAiRs,palm-nut-soup-026.jpg,Palm-nut Soup,Ghana,0:21,2,5:01
27,https://www.youtube.com/watch?v=hBEizrEAiRs,hBEizrEAiRs,palm-nut-soup-027.jpg,Palm-nut Soup,Ghana,0:24,2,5:01
